"Year","Mean_Bed_Occupied"
2014,87.2319182229267
2015,87.2226570894105
2016,88.2699954264823
2017,88.1615500817145
2018,88.0079827136226
2019,87.9941719028175
2020,75.9563840210537
2021,85.7300955821706
2022,88.8819819142003
2023,89.0965536231147
2024,88.6535389186637
