Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2013 to March 2014;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;February 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2013;May 2013;June 2013;July 2013;August 2013;September 2013;October 2013;November 2013;December 2013;January 2014;February 2014;March 2014;CCG Name
02Y;Yorkshire and Humber;East Riding Of Yorkshire;24;25;17;21;25;14;15;15;30;20;19;23;East Riding Of Yorkshire
05D;West Midlands;East Staffordshire;6;9;8;8;3;13;7;8;7;9;7;5;East Staffordshire
09L;Kent, Surrey and Sussex;East Surrey;10;11;10;13;8;9;14;11;6;16;9;2;East Surrey
09F;Kent, Surrey and Sussex;Eastbourne, Hailsham And Seaford;16;9;12;7;5;11;9;12;9;11;16;7;Eastbourne, Hailsham And Seaford
;;;;;;;;;;;;;;;
01C;Cheshire and Merseyside;Eastern Cheshire;13;13;13;21;14;14;15;10;13;22;13;23;Eastern Cheshire
07X;London;Enfield;11;24;24;26;18;16;12;14;12;9;10;8;Enfield
03X;East Midlands;Erewash;7;5;2;7;5;7;8;9;9;6;6;10;Erewash
10K;Wessex;Fareham And Gosport;6;6;11;10;8;10;13;9;7;10;4;13;Fareham And Gosport
02M;Cumbria and Lancashire;Fylde & Wyre;9;8;7;14;6;8;12;9;17;11;13;17;Fylde & Wyre
;;;;;;;;;;;;;;;
00F;North East;Gateshead;9;11;14;13;6;11;11;8;7;14;18;21;Gateshead
11M;Avon, Gloucestershire and Wiltshire;Gloucestershire;26;29;23;19;24;19;21;22;28;29;22;24;Gloucestershire
06M;Anglia and Essex;Great Yarmouth And Waveney;11;14;13;13;22;7;16;12;14;11;6;18;Great Yarmouth And Waveney
03A;Yorkshire and Humber;Greater Huddersfield;11;9;12;11;5;10;14;10;14;11;8;11;Greater Huddersfield
01E;Cumbria and Lancashire;Greater Preston;15;12;14;6;11;8;10;7;9;9;10;7;Greater Preston
;;;;;;;;;;;;;;;
08A;London;Greenwich;9;12;8;11;11;12;14;7;13;7;5;14;Greenwich
09N;Kent, Surrey and Sussex;Guildford And Waverley;10;14;8;3;5;14;14;9;7;7;7;4;Guildford And Waverley
01F;Cheshire and Merseyside;Halton;10;8;9;9;6;8;11;4;7;11;10;9;Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire And Whitby;4;9;4;4;9;10;11;10;13;6;4;7;Hambleton, Richmondshire And Whitby
08C;London;Hammersmith And Fulham;8;5;7;7;5;5;4;3;7;8;8;7;Hammersmith And Fulham
;;;;;;;;;;;;;;;
03Y;East Midlands;Hardwick;7;13;8;12;9;12;5;12;2;9;9;5;Hardwick
08D;London;Haringey;17;5;11;11;10;6;7;7;10;13;9;10;Haringey
03E;Yorkshire and Humber;Harrogate And Rural District;7;11;13;11;10;9;7;7;8;11;6;7;Harrogate And Rural District
08E;London;Harrow;7;4;5;8;14;13;12;8;10;8;11;6;Harrow
00K;North East;Hartlepool And Stockton-On-Tees;14;11;17;8;18;16;17;15;16;28;10;10;Hartlepool And Stockton-On-Tees
;;;;;;;;;;;;;;;
09P;Kent, Surrey and Sussex;Hastings And Rother;9;11;6;10;12;7;13;21;8;9;7;13;Hastings And Rother
08F;London;Havering;16;16;16;15;23;18;18;16;20;19;17;26;Havering
05F;West Midlands;Herefordshire;9;7;4;12;9;7;11;16;13;6;3;4;Herefordshire
06N;South Midlands and Hertfordshire;Herts Valleys;18;18;32;27;29;29;39;28;15;28;31;28;Herts Valleys
01D;Greater Manchester;Heywood, Middleton And Rochdale;14;16;7;10;12;14;13;13;12;9;12;10;Heywood, Middleton And Rochdale
;;;;;;;;;;;;;;;
99K;Kent, Surrey and Sussex;High Weald Lewes Havens;13;5;5;6;7;4;4;5;4;7;2;6;High Weald Lewes Havens
08G;London;Hillingdon;10;13;11;13;14;16;14;17;9;11;12;11;Hillingdon
09X;Kent, Surrey and Sussex;Horsham And Mid Sussex;11;7;9;14;13;6;7;8;9;8;8;5;Horsham And Mid Sussex
07Y;London;Hounslow;12;10;16;15;12;12;10;11;8;18;15;30;Hounslow
03F;Yorkshire and Humber;Hull;15;22;15;23;23;17;24;17;23;19;24;20;Hull
;;;;;;;;;;;;;;;
06L;Anglia and Essex;Ipswich And East Suffolk;10;10;14;22;18;24;14;12;14;13;14;18;Ipswich And East Suffolk
10L;Wessex;Isle Of Wight;12;9;4;7;8;7;8;6;7;11;6;8;Isle Of Wight
08H;London;Islington;9;12;8;11;12;14;10;7;13;11;5;7;Islington
11N;Devon, Cornwall and Somerset;Kernow;28;19;29;27;33;26;22;31;20;23;25;21;Kernow
08J;London;Kingston;6;5;5;7;11;7;9;14;10;6;7;5;Kingston
;;;;;;;;;;;;;;;
01J;Cheshire and Merseyside;Knowsley;16;18;13;18;22;17;9;12;13;18;13;20;Knowsley
08K;London;Lambeth;14;14;15;19;15;16;18;16;23;15;10;18;Lambeth
01K;Cumbria and Lancashire;Lancashire North;4;11;13;7;9;6;9;7;8;9;8;10;Lancashire North
02V;Yorkshire and Humber;Leeds North;9;9;11;14;8;10;5;13;14;7;10;10;Leeds North
03G;Yorkshire and Humber;Leeds South And East;27;18;12;14;30;22;20;12;24;19;19;20;Leeds South And East
;;;;;;;;;;;;;;;
03C;Yorkshire and Humber;Leeds West;16;23;12;14;19;11;11;16;10;11;13;7;Leeds West
04C;East Midlands;Leicester City;15;18;20;26;19;22;16;14;18;22;15;12;Leicester City
08L;London;Lewisham;6;12;7;12;7;19;15;10;13;12;4;9;Lewisham
03T;East Midlands;Lincolnshire East;21;15;14;14;14;18;19;15;16;13;14;16;Lincolnshire East
04D;East Midlands;Lincolnshire West;14;21;14;14;14;13;7;12;10;11;11;9;Lincolnshire West
;;;;;;;;;;;;;;;
99A;Cheshire and Merseyside;Liverpool;35;28;29;26;37;43;40;38;50;36;28;35;Liverpool
06P;South Midlands and Hertfordshire;Luton;17;7;9;10;13;5;7;5;5;12;8;10;Luton
04E;East Midlands;Mansfield And Ashfield;21;16;16;28;15;18;22;16;15;15;15;17;Mansfield And Ashfield
09W;Kent, Surrey and Sussex;Medway;14;13;13;14;15;13;15;16;15;17;14;14;Medway
08R;London;Merton;12;11;9;5;8;10;5;10;5;10;7;4;Merton
;;;;;;;;;;;;;;;
06Q;Anglia and Essex;Mid Essex;11;12;9;16;18;14;19;8;22;19;14;19;Mid Essex
04F;South Midlands and Hertfordshire;Milton Keynes;8;9;7;11;10;6;14;12;10;12;10;11;Milton Keynes
04G;South Midlands and Hertfordshire;Nene;29;23;24;32;34;33;30;32;32;33;29;30;Nene
04H;East Midlands;Newark & Sherwood;6;9;9;5;7;9;8;10;3;7;6;11;Newark & Sherwood
10M;Thames Valley;Newbury And District;2;2;6;4;5;3;5;2;7;4;4;6;Newbury And District
;;;;;;;;;;;;;;;
00G;North East;Newcastle North And East;6;7;5;11;10;12;8;5;6;5;8;10;Newcastle North And East
00H;North East;Newcastle West;9;8;0;4;7;10;5;9;10;8;6;8;Newcastle West
08M;London;Newham;16;11;8;14;16;12;12;10;13;17;11;14;Newham
10N;Thames Valley;North & West Reading;3;4;6;4;5;6;3;10;7;4;4;4;North & West Reading
04J;East Midlands;North Derbyshire;24;11;20;27;19;14;21;28;22;19;13;21;North Derbyshire
;;;;;;;;;;;;;;;
00J;North East;North Durham;15;14;14;12;12;7;13;7;11;10;11;14;North Durham
06T;Anglia and Essex;North East Essex;13;18;8;18;19;16;17;17;18;19;17;12;North East Essex
99M;Wessex;North East Hampshire And Farnham;7;7;8;10;9;10;8;9;9;16;8;9;North East Hampshire And Farnham
03H;Yorkshire and Humber;North East Lincolnshire;12;16;5;9;11;10;10;8;6;8;9;8;North East Lincolnshire
10J;Wessex;North Hampshire;10;6;7;10;6;6;5;8;6;13;8;8;North Hampshire
;;;;;;;;;;;;;;;
03J;Yorkshire and Humber;North Kirklees;5;10;11;13;14;9;12;11;12;5;5;15;North Kirklees
03K;Yorkshire and Humber;North Lincolnshire;12;13;11;16;17;9;11;10;6;14;11;14;North Lincolnshire
01M;Greater Manchester;North Manchester;9;14;6;14;7;11;15;13;7;7;8;17;North Manchester
06V;Anglia and Essex;North Norfolk;7;2;10;6;8;12;12;7;7;9;6;11;North Norfolk
11T;Avon, Gloucestershire and Wiltshire;North Somerset;10;16;14;18;16;16;9;6;11;15;11;20;North Somerset
;;;;;;;;;;;;;;;
05G;West Midlands;North Staffordshire;11;12;11;12;17;14;15;17;24;16;15;14;North Staffordshire
99C;North East;North Tyneside;12;12;15;16;12;20;17;12;12;14;11;13;North Tyneside
09Y;Kent, Surrey and Sussex;North West Surrey;21;33;19;21;19;14;15;14;16;19;16;15;North West Surrey
99P;Devon, Cornwall and Somerset;North, East, West Devon;43;39;48;42;41;36;50;40;46;31;39;45;North, East, West Devon
00L;North East;Northumberland;22;17;13;24;28;17;35;21;23;18;16;22;Northumberland
;;;;;;;;;;;;;;;
06W;Anglia and Essex;Norwich;7;7;6;12;6;8;9;12;4;9;6;5;Norwich
04K;East Midlands;Nottingham City;20;26;20;23;26;24;23;26;24;20;14;12;Nottingham City
04L;East Midlands;Nottingham North And East;12;13;12;10;10;13;14;13;8;12;8;19;Nottingham North And East
04M;East Midlands;Nottingham West;7;7;6;5;6;7;2;10;8;11;11;12;Nottingham West
00Y;Greater Manchester;Oldham;11;14;11;13;16;19;15;15;9;11;10;10;Oldham
;;;;;;;;;;;;;;;
10Q;Thames Valley;Oxfordshire;37;36;31;34;34;33;30;28;29;36;28;24;Oxfordshire
10R;Wessex;Portsmouth;6;11;15;9;15;18;8;6;3;6;5;9;Portsmouth
08N;London;Redbridge;14;8;13;13;19;16;11;12;11;15;6;10;Redbridge
05J;West Midlands;Redditch And Bromsgrove;8;5;5;8;7;5;7;7;10;2;5;11;Redditch And Bromsgrove
08P;London;Richmond;4;3;4;7;9;6;10;3;6;13;6;4;Richmond
;;;;;;;;;;;;;;;
03L;Yorkshire and Humber;Rotherham;20;15;8;12;27;17;22;31;21;31;16;17;Rotherham
04N;East Midlands;Rushcliffe;6;10;8;4;5;10;6;10;6;12;9;10;Rushcliffe
01G;Greater Manchester;Salford;12;15;20;18;18;15;17;13;12;10;19;19;Salford
05L;West Midlands;Sandwell And West Birmingham;34;28;28;16;25;30;25;34;27;32;27;25;Sandwell And West Birmingham
