Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2015 to March 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;February 2017;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2015;May 2015;June 2015;July 2015;August 2015;September 2015;October 2015;November 2015;December 2015;January 2016;February 2016;March 2016;CCG Name
09X;South East;Horsham and Mid Sussex;14;8;9;10;10;10;10;16;13;16;8;9;Horsham and Mid Sussex
07Y;London;Hounslow;10;14;16;15;11;11;15;10;13;19;15;19;Hounslow
03F;Yorkshire and Humber;Hull;10;21;16;17;19;20;24;21;17;18;14;13;Hull
06L;East of England;Ipswich and East Suffolk;15;14;25;19;16;25;14;19;31;29;11;15;Ipswich and East Suffolk
10L;South East;Isle of Wight;14;8;12;15;12;8;7;12;3;4;12;12;Isle of Wight
08H;London;Islington;10;10;10;15;16;13;11;10;8;10;10;5;Islington
11N;South West;Kernow;30;14;32;29;28;35;27;23;28;24;34;35;Kernow
08J;London;Kingston;8;8;13;5;4;7;13;7;7;8;6;11;Kingston
01J;North West;Knowsley;15;18;16;23;15;21;9;12;14;20;12;15;Knowsley
08K;London;Lambeth;11;18;15;11;21;23;17;12;17;15;16;19;Lambeth
01K;North West;Lancashire North;7;4;8;14;8;11;14;8;8;11;8;10;Lancashire North
02V;Yorkshire and Humber;Leeds North;11;7;9;9;5;11;16;14;13;10;9;15;Leeds North
03G;Yorkshire and Humber;Leeds South and East;16;24;10;16;23;21;12;17;25;10;24;20;Leeds South and East
03C;Yorkshire and Humber;Leeds West;17;18;20;22;17;17;16;14;9;24;14;17;Leeds West
04C;East Midlands;Leicester City;26;26;16;30;19;27;21;9;20;21;13;26;Leicester City
08L;London;Lewisham;9;14;11;15;14;14;14;13;21;11;5;16;Lewisham
03T;East Midlands;Lincolnshire East;13;14;23;13;21;20;11;19;18;19;16;15;Lincolnshire East
04D;East Midlands;Lincolnshire West;16;15;10;13;13;17;14;11;11;10;16;9;Lincolnshire West
99A;North West;Liverpool;34;35;41;42;42;43;35;41;29;28;28;32;Liverpool
06P;East of England;Luton;7;7;7;6;10;14;8;11;11;9;10;8;Luton
04E;East Midlands;Mansfield and Ashfield;15;20;21;25;23;13;17;11;14;20;23;20;Mansfield and Ashfield
09W;South East;Medway;17;17;18;19;18;18;17;11;16;21;17;17;Medway
08R;London;Merton;19;11;13;9;13;10;9;6;8;8;11;6;Merton
06Q;East of England;Mid Essex;12;15;19;15;23;19;15;10;16;11;17;10;Mid Essex
04F;East of England;Milton Keynes;12;10;12;14;11;10;11;15;17;13;16;14;Milton Keynes
04G;East Midlands;Nene;29;38;34;43;37;35;36;31;37;35;33;39;Nene
04H;East Midlands;Newark & Sherwood;9;10;7;20;9;11;6;10;10;10;14;13;Newark & Sherwood
10M;South East;Newbury and District;10;6;2;6;5;4;9;7;6;4;2;5;Newbury and District
13T;North East;Newcastle Gateshead;24;30;38;28;39;31;19;37;32;44;39;39;Newcastle Gateshead
08M;London;Newham;14;9;16;12;16;13;18;15;16;18;11;17;Newham
10N;South East;North & West Reading;3;3;8;2;7;3;6;4;3;8;3;9;North & West Reading
04J;East Midlands;North Derbyshire;21;21;16;21;21;20;20;26;22;21;14;14;North Derbyshire
00J;North East;North Durham;5;11;13;16;18;14;14;10;9;17;10;20;North Durham
06T;East of England;North East Essex;11;20;23;20;14;15;18;25;17;20;16;19;North East Essex
99M;South East;North East Hampshire and Farnham;10;10;11;6;11;16;11;16;8;16;10;14;North East Hampshire and Farnham
03H;Yorkshire and Humber;North East Lincolnshire;9;16;14;11;12;10;12;13;7;10;10;14;North East Lincolnshire
10J;South East;North Hampshire;10;9;8;11;12;10;12;6;12;3;11;5;North Hampshire
03J;Yorkshire and Humber;North Kirklees;12;10;19;11;12;13;11;20;6;14;12;11;North Kirklees
03K;Yorkshire and Humber;North Lincolnshire;11;11;7;13;8;9;16;12;15;18;14;11;North Lincolnshire
01M;North West;North Manchester;11;10;17;11;12;8;11;12;6;9;8;12;North Manchester
06V;East of England;North Norfolk;10;7;13;9;9;9;11;10;5;3;10;9;North Norfolk
11T;South West;North Somerset;12;10;14;17;9;16;13;17;12;14;11;13;North Somerset
05G;West Midlands;North Staffordshire;7;12;16;20;19;20;11;18;20;13;14;11;North Staffordshire
99C;North East;North Tyneside;13;32;21;21;18;15;22;14;15;17;17;17;North Tyneside
09Y;South East;North West Surrey;20;22;19;19;20;24;21;19;22;14;17;22;North West Surrey
99P;South West; Northern, Eastern and Western Devon;50;49;50;40;42;46;70;55;50;49;53;55; Northern, Eastern and Western Devon
00L;North East;Northumberland;12;24;32;21;27;28;26;25;35;20;18;24;Northumberland
06W;East of England;Norwich;13;5;6;11;14;12;6;7;11;7;11;9;Norwich
04K;East Midlands;Nottingham City;26;20;19;33;21;26;28;23;24;25;17;28;Nottingham City
04L;East Midlands;Nottingham North and East;9;14;13;17;14;11;9;14;9;16;11;13;Nottingham North and East
04M;East Midlands;Nottingham West;7;5;11;7;6;9;9;8;10;8;7;9;Nottingham West
00Y;North West;Oldham;10;9;16;6;11;13;14;9;12;22;8;15;Oldham
10Q;South East;Oxfordshire;34;35;32;43;34;33;37;48;29;35;28;35;Oxfordshire
10R;South East;Portsmouth;9;13;10;6;11;9;10;12;7;3;8;9;Portsmouth
08N;London;Redbridge;13;10;13;18;15;14;15;21;18;14;19;25;Redbridge
05J;West Midlands;Redditch and Bromsgrove;4;7;11;8;16;7;8;10;11;12;8;12;Redditch and Bromsgrove
08P;London;Richmond;9;6;5;8;17;4;5;6;9;9;5;7;Richmond
03L;Yorkshire and Humber;Rotherham;17;18;18;23;17;30;17;17;16;21;23;16;Rotherham
04N;East Midlands;Rushcliffe;8;7;10;10;6;3;9;7;11;13;4;5;Rushcliffe
01G;North West;Salford;11;14;19;12;11;17;27;18;14;13;16;15;Salford
05L;West Midlands;Sandwell and West Birmingham;30;29;28;26;23;26;21;14;22;28;37;31;Sandwell and West Birmingham
03M;Yorkshire and Humber;Scarborough and Ryedale;10;7;7;9;7;12;10;6;7;11;12;8;Scarborough and Ryedale
03N;Yorkshire and Humber;Sheffield;57;31;49;55;31;51;53;58;47;46;38;42;Sheffield
05N;West Midlands;Shropshire;12;14;21;19;20;21;23;7;15;21;19;18;Shropshire
10T;South East;Slough;6;6;4;9;5;8;5;8;12;8;9;5;Slough
05P;West Midlands;Solihull;14;23;17;22;12;23;23;10;15;18;13;13;Solihull
11X;South West;Somerset;15;31;34;40;45;22;44;42;40;27;38;34;Somerset
01R;North West;South Cheshire;8;7;14;11;21;11;8;6;10;9;11;17;South Cheshire
99Q;South West;South Devon and Torbay;13;15;13;23;24;25;17;17;25;16;20;15;South Devon and Torbay
05Q;West Midlands;South East Staffordshire and Seisdon Peninsula;11;10;11;13;9;13;13;12;5;10;15;11;South East Staffordshire and Seisdon Peninsula
10V;South East;South Eastern Hampshire;11;9;11;11;19;9;9;5;6;18;10;5;South Eastern Hampshire
12A;South West;South Gloucestershire;6;14;7;15;19;15;15;7;13;17;17;9;South Gloucestershire
10A;South East;South Kent Coast;14;14;9;12;19;19;17;12;17;12;15;14;South Kent Coast
99D;East Midlands;South Lincolnshire;9;6;12;20;10;13;5;18;9;11;10;9;South Lincolnshire
01N;North West;South Manchester;12;9;12;13;16;10;7;2;7;12;12;10;South Manchester
06Y;East of England;South Norfolk;13;13;11;24;18;17;17;13;17;19;8;14;South Norfolk
10W;South East;South Reading;2;1;13;2;6;6;5;8;4;7;4;3;South Reading
01T;North West;South Sefton;10;14;11;9;11;18;13;20;8;15;10;10;South Sefton
00M;North East;South Tees;22;19;26;25;31;33;32;23;30;35;16;32;South Tees
00N;North East;South Tyneside;16;11;9;5;5;14;13;7;6;16;12;9;South Tyneside
05R;West Midlands;South Warwickshire;12;14;13;12;17;15;13;14;15;13;10;18;South Warwickshire
04Q;East Midlands;South West Lincolnshire;6;13;9;10;5;4;8;9;7;6;5;4;South West Lincolnshire
05T;West Midlands;South Worcestershire;15;19;16;13;15;16;11;10;14;18;13;16;South Worcestershire
10X;South East;Southampton;12;6;9;11;12;12;8;12;14;14;8;12;Southampton
99G;East of England;Southend;7;7;11;17;7;10;8;9;7;10;7;7;Southend
04R;East Midlands;Southern Derbyshire;37;30;35;51;40;21;29;30;47;36;33;36;Southern Derbyshire
01V;North West;Southport and Formby;8;8;9;17;10;12;7;16;9;9;9;14;Southport and Formby
08Q;London;Southwark;18;16;18;15;18;13;19;17;12;16;15;17;Southwark
01X;North West;St Helens;15;13;18;17;15;19;19;15;16;14;17;14;St Helens
05V;West Midlands;Stafford and Surrounds;11;8;10;11;7;10;21;16;4;8;7;12;Stafford and Surrounds
01W;North West;Stockport;15;21;21;21;20;21;17;18;16;15;14;10;Stockport
05W;West Midlands;Stoke on Trent;21;26;22;26;18;16;31;26;20;20;23;22;Stoke on Trent
00P;North East;Sunderland;21;23;28;26;26;17;25;26;21;25;14;21;Sunderland
99H;South East;Surrey Downs;11;12;13;10;23;16;22;11;14;16;15;9;Surrey Downs
10C;South East;Surrey Heath;3;5;11;7;14;9;4;3;16;4;4;8;Surrey Heath
08T;London;Sutton;12;11;17;8;13;15;11;11;15;10;6;8;Sutton
10D;South East;Swale;5;7;3;7;8;7;5;11;7;4;6;8;Swale
12D;South West;Swindon;12;12;8;24;16;15;15;16;18;10;8;14;Swindon
01Y;North West;Tameside and Glossop;15;13;24;24;15;17;19;8;16;21;13;11;Tameside and Glossop
05X;West Midlands;Telford and Wrekin;12;8;6;11;9;12;10;9;9;7;5;10;Telford and Wrekin
10E;South East;Thanet;10;7;9;16;11;10;10;17;13;13;11;9;Thanet
07G;East of England;Thurrock;6;13;5;10;11;8;9;13;10;8;9;11;Thurrock
08V;London;Tower Hamlets;19;14;13;13;20;19;19;9;11;10;9;17;Tower Hamlets
02A;North West;Trafford;15;11;19;20;15;13;16;8;11;17;8;12;Trafford
03Q;Yorkshire and Humber;Vale of York;24;22;29;17;19;14;16;21;23;27;36;23;Vale of York
02D;North West;Vale Royal;3;6;4;10;2;4;2;8;6;11;7;4;Vale Royal
03R;Yorkshire and Humber;Wakefield;17;23;25;22;20;26;28;25;22;24;12;22;Wakefield
05Y;West Midlands;Walsall;17;17;10;15;14;15;12;9;12;14;16;5;Walsall
08W;London;Waltham Forest;13;14;10;23;15;15;11;17;17;12;10;17;Waltham Forest
08X;London;Wandsworth;16;17;14;14;13;17;16;15;14;8;10;10;Wandsworth
02E;North West;Warrington;12;12;13;11;11;10;13;5;6;11;14;13;Warrington
05H;West Midlands;Warwickshire North;9;13;9;9;15;8;10;10;7;12;11;10;Warwickshire North
02F;North West;West Cheshire;21;16;22;16;25;26;18;28;16;17;23;19;West Cheshire
07H;East of England;West Essex;20;11;13;14;12;11;9;13;15;10;9;14;West Essex
11A;South East;West Hampshire;32;25;24;29;33;27;25;24;23;28;25;21;West Hampshire
99J;South East;West Kent;24;26;28;19;21;23;22;22;28;22;29;21;West Kent
02G;North West;West Lancashire;6;8;8;8;10;10;7;7;7;6;3;7;West Lancashire
04V;East Midlands;West Leicestershire;15;20;22;23;24;15;25;25;15;21;12;23;West Leicestershire
08Y;London;West London;13;8;12;12;10;14;12;8;12;13;8;11;West London
07J;East of England;West Norfolk;5;16;12;11;6;15;9;10;7;12;10;14;West Norfolk
07K;East of England;West Suffolk;12;18;13;8;13;12;13;19;15;16;11;9;West Suffolk
02H;North West;Wigan Borough;13;14;11;12;22;22;20;12;20;14;5;27;Wigan Borough
99N;South West;Wiltshire;20;24;22;21;29;23;29;19;27;24;19;18;Wiltshire
11C;South East;Windsor, Ascot and Maidenhead;9;9;8;5;7;5;12;3;5;11;5;14;Windsor, Ascot and Maidenhead
12F;North West;Wirral*;0;0;0;3;0;2;0;2;3;6;14;27;Wirral*
11D;South East;Wokingham;7;7;6;11;6;9;5;3;6;4;4;7;Wokingham
06A;West Midlands;Wolverhampton;17;20;24;22;10;14;19;19;12;13;19;13;Wolverhampton
06D;West Midlands;Wyre Forest;3;8;6;2;7;7;6;7;6;7;4;4;Wyre Forest
;Specialist Commissioning;Specialist Commissioning Hubs;0;0;1;1;0;0;0;0;2;0;1;1;Specialist Commissioning Hubs
;;Totals;2927;3061;3200;3373;3353;3363;3309;3168;3077;3226;2956;3231;Totals
;;;;;;;;;;;;;;;
* Monthly counts for Wirral CCG may be under-estimates as the main acute provider (Wirral University Teaching Hospital NHS Trust) have not submitted E. coli bacteraemia data between February 2014 and December 2015;;;;;;;;;;;;;;;
