Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2015 to March 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;February 2017;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2015;May 2015;June 2015;July 2015;August 2015;September 2015;October 2015;November 2015;December 2015;January 2016;February 2016;March 2016;CCG Name
;;Totals;2927;3061;3200;3373;3353;3363;3309;3168;3077;3226;2956;3231;Totals
;;;;;;;;;;;;;;;
02N;Yorkshire and Humber;Airedale, Wharfedale and Craven;11;4;7;9;5;7;9;15;13;13;10;7;Airedale, Wharfedale and Craven
09C;South East;Ashford;4;5;5;8;8;8;8;4;5;4;12;5;Ashford
10Y;South East;Aylesbury Vale;10;3;9;10;10;5;12;13;12;6;11;11;Aylesbury Vale
07L;London;Barking and Dagenham;16;8;9;12;6;9;14;7;10;11;9;7;Barking and Dagenham
07M;London;Barnet;18;25;21;21;18;14;19;27;11;26;20;20;Barnet
02P;Yorkshire and Humber;Barnsley;18;12;19;18;21;16;18;13;18;11;18;21;Barnsley
99E;East of England;Basildon and Brentwood;13;26;14;14;15;15;16;10;12;18;12;9;Basildon and Brentwood
02Q;East Midlands;Bassetlaw;6;6;3;10;10;13;14;9;9;12;4;11;Bassetlaw
11E;South West;Bath and North East Somerset;5;14;10;11;8;12;11;12;8;14;7;13;Bath and North East Somerset
06F;East of England;Bedfordshire;24;17;35;16;22;17;24;21;17;21;15;17;Bedfordshire
07N;London;Bexley;9;15;12;18;9;9;10;21;14;17;13;17;Bexley
13P;West Midlands;Birmingham Crosscity;36;36;57;46;31;52;56;41;36;34;34;44;Birmingham Crosscity
04X;West Midlands;Birmingham South and Central;11;12;9;5;11;22;13;11;9;15;14;13;Birmingham South and Central
00Q;North West;Blackburn With Darwen;12;11;6;9;16;16;6;8;16;9;11;13;Blackburn With Darwen
00R;North West;Blackpool;12;14;15;13;15;20;16;16;15;19;17;14;Blackpool
00T;North West;Bolton;25;20;13;16;24;25;15;25;13;18;15;21;Bolton
10G;South East;Bracknell and Ascot;6;6;6;6;6;1;5;3;7;11;7;5;Bracknell and Ascot
02W;Yorkshire and Humber;Bradford City;7;5;2;5;2;7;3;5;5;4;4;3;Bradford City
02R;Yorkshire and Humber;Bradford Districts;26;16;20;20;28;20;26;13;17;15;18;18;Bradford Districts
07P;London;Brent;26;16;19;15;24;14;21;12;11;17;17;15;Brent
09D;South East;Brighton and Hove;10;21;10;11;16;15;12;12;14;12;7;16;Brighton and Hove
11H;South West;Bristol;19;22;25;24;32;34;19;22;30;21;22;17;Bristol
07Q;London;Bromley;13;14;9;13;15;17;14;17;5;16;11;12;Bromley
00V;North West;Bury;8;17;16;7;9;7;4;11;13;9;8;10;Bury
02T;Yorkshire and Humber;Calderdale;15;6;13;12;9;19;14;12;10;11;14;13;Calderdale
06H;East of England;Cambridgeshire and Peterborough;42;48;49;34;41;45;46;48;30;55;37;35;Cambridgeshire and Peterborough
07R;London;Camden;12;15;13;14;21;20;19;20;11;17;7;13;Camden
04Y;West Midlands;Cannock Chase;11;10;6;9;9;8;8;8;7;11;5;11;Cannock Chase
09E;South East;Canterbury and Coastal;13;21;15;14;14;8;10;15;8;14;13;14;Canterbury and Coastal
99F;East of England;Castle Point and Rochford;12;11;11;13;14;9;12;9;7;17;12;12;Castle Point and Rochford
09A;London;Central London (Westminster);2;5;4;15;9;8;8;9;7;8;11;5;Central London (Westminster)
00W;North West;Central Manchester;8;10;10;7;10;6;7;14;8;10;6;7;Central Manchester
10H;South East;Chiltern;16;20;20;18;15;21;25;17;16;13;14;21;Chiltern
00X;North West;Chorley and South Ribble;11;4;7;9;15;10;13;4;6;8;11;11;Chorley and South Ribble
07T;London;City and Hackney;10;15;7;13;15;17;19;11;13;8;7;18;City and Hackney
09G;South East;Coastal West Sussex;26;22;25;32;27;37;26;23;26;16;27;37;Coastal West Sussex
03V;East Midlands;Corby;3;4;1;2;1;4;4;2;4;5;2;1;Corby
05A;West Midlands;Coventry and Rugby;15;23;25;22;28;18;19;27;18;32;20;19;Coventry and Rugby
09H;South East;Crawley;5;9;7;4;9;5;11;3;6;9;7;5;Crawley
07V;London;Croydon;17;21;17;20;14;23;16;25;17;19;30;30;Croydon
01H;North West;Cumbria;22;29;33;29;32;39;38;40;32;29;25;27;Cumbria
00C;North East;Darlington;7;6;1;7;10;10;6;12;6;4;10;7;Darlington
09J;South East;Dartford, Gravesham and Swanley;16;12;7;18;17;16;11;15;9;15;17;20;Dartford, Gravesham and Swanley
02X;Yorkshire and Humber;Doncaster;17;13;20;18;25;28;20;27;19;26;31;20;Doncaster
11J;South West;Dorset;43;60;52;53;59;57;58;44;49;44;56;51;Dorset
05C;West Midlands;Dudley;19;22;27;22;24;17;30;21;21;14;20;11;Dudley
00D;North East;Durham Dales, Easington and Sedgefield;19;16;18;12;19;27;20;23;16;17;23;23;Durham Dales, Easington and Sedgefield
07W;London;Ealing;22;23;27;22;20;25;24;27;13;23;17;20;Ealing
06K;East of England;East and North Hertfordshire;22;24;20;33;41;26;19;32;31;25;28;39;East and North Hertfordshire
01A;North West;East Lancashire;24;22;29;23;24;20;29;17;15;25;23;24;East Lancashire
03W;East Midlands;East Leicestershire and Rutland;20;14;19;18;16;25;14;24;16;13;16;23;East Leicestershire and Rutland
02Y;Yorkshire and Humber;East Riding of Yorkshire;17;23;24;27;18;18;12;16;17;25;17;22;East Riding of Yorkshire
05D;West Midlands;East Staffordshire;4;5;4;6;6;8;9;6;7;8;11;4;East Staffordshire
09L;South East;East Surrey;8;9;12;10;15;18;11;8;12;10;7;18;East Surrey
09F;South East;Eastbourne, Hailsham and Seaford;7;12;11;17;12;9;10;13;9;17;17;19;Eastbourne, Hailsham and Seaford
01C;North West;Eastern Cheshire;18;15;7;13;13;13;18;16;13;11;13;20;Eastern Cheshire
07X;London;Enfield;19;17;7;18;14;14;27;15;24;17;20;11;Enfield
03X;East Midlands;Erewash;8;6;6;4;4;6;3;8;7;2;3;7;Erewash
10K;South East;Fareham and Gosport;3;9;16;12;13;15;10;8;13;7;9;8;Fareham and Gosport
02M;North West;Fylde & Wyre;11;8;12;8;17;9;10;6;11;9;9;8;Fylde & Wyre
11M;South West;Gloucestershire;12;33;26;33;22;22;26;18;26;22;25;22;Gloucestershire
06M;East of England;Great Yarmouth and Waveney;13;12;11;18;8;12;17;13;15;19;18;22;Great Yarmouth and Waveney
03A;Yorkshire and Humber;Greater Huddersfield;10;13;17;14;19;15;12;15;17;19;16;6;Greater Huddersfield
01E;North West;Greater Preston;8;10;12;15;12;14;5;10;17;19;5;14;Greater Preston
08A;London;Greenwich;10;7;19;23;12;18;13;19;17;12;14;15;Greenwich
09N;South East;Guildford and Waverley;13;8;14;21;17;8;9;8;7;13;5;12;Guildford and Waverley
01F;North West;Halton;8;11;10;5;8;7;6;7;7;9;4;12;Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire and Whitby;15;8;11;6;7;13;23;12;4;10;8;10;Hambleton, Richmondshire and Whitby
08C;London;Hammersmith and Fulham;6;7;7;9;6;11;9;8;5;10;9;8;Hammersmith and Fulham
03Y;East Midlands;Hardwick;6;4;5;7;8;14;5;6;10;6;12;16;Hardwick
08D;London;Haringey;12;15;9;9;13;11;11;13;14;8;10;13;Haringey
03E;Yorkshire and Humber;Harrogate and Rural District;9;9;9;7;19;16;15;6;15;6;7;12;Harrogate and Rural District
08E;London;Harrow;14;12;9;19;9;14;11;10;13;17;13;10;Harrow
00K;North East;Hartlepool and Stockton-on-Tees;14;22;12;28;17;23;25;28;21;27;15;26;Hartlepool and Stockton-on-Tees
09P;South East;Hastings and Rother;15;16;15;12;17;12;12;9;9;15;15;14;Hastings and Rother
08F;London;Havering;17;19;24;21;24;18;20;24;17;12;17;14;Havering
05F;West Midlands;Herefordshire;16;11;5;13;9;6;12;13;17;8;9;7;Herefordshire
06N;East of England;Herts Valleys;25;21;24;31;38;29;27;24;41;29;30;30;Herts Valleys
01D;North West;Heywood, Middleton and Rochdale;4;11;9;11;13;11;12;15;9;7;8;12;Heywood, Middleton and Rochdale
99K;South East;High Weald Lewes Havens;8;4;8;13;4;9;7;9;10;11;4;9;High Weald Lewes Havens
08G;London;Hillingdon;15;17;16;14;18;14;22;14;16;13;12;12;Hillingdon
