Title:;Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;March 2016 to March 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;Wednesday, May 03, 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;March 2016;April 2016;May 2016;June 2016;July 2016;August 2016;September 2016;October 2016;November 2016;December 2016;January 2017;February 2017;March 2017;CCG Name
;;Totals; 3 231 ; 3 058 ; 3 370 ; 3 412 ; 3 644 ; 3 761 ; 3 476 ; 3 532 ; 3 323 ; 3 271 ; 3 168 ; 3 091 ; 3 336 ;Totals
;;;;;;;;;;;;;;;;
01C;North West;Eastern Cheshire;20;15;10;16;17;18;18;19;18;12;20;6;13;Eastern Cheshire
07X;London;Enfield;11;16;17;15;19;17;19;14;17;16;15;17;20;Enfield
03X;East Midlands;Erewash;7;4;7;5;6;15;4;13;8;8;6;5;6;Erewash
10K;South East;Fareham and Gosport;8;10;12;12;15;10;13;10;11;9;9;13;15;Fareham and Gosport
02M;North West;Fylde & Wyre;8;12;17;11;13;9;12;9;6;4;12;15;11;Fylde & Wyre
11M;South West;Gloucestershire;22;27;30;25;30;32;24;22;14;12;16;24;27;Gloucestershire
06M;East of England;Great Yarmouth and Waveney;22;13;23;13;17;17;17;23;16;9;13;22;13;Great Yarmouth and Waveney
03A;Yorkshire and Humber;Greater Huddersfield;6;5;12;13;14;8;11;14;10;19;20;10;9;Greater Huddersfield
01E;North West;Greater Preston;14;8;16;17;18;15;7;16;12;6;18;14;10;Greater Preston
08A;London;Greenwich;15;20;23;12;22;17;12;18;15;13;14;10;13;Greenwich
09N;South East;Guildford and Waverley;12;7;10;11;13;12;11;14;11;8;10;5;11;Guildford and Waverley
01F;North West;Halton;12;3;6;9;10;11;7;3;9;7;6;6;9;Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire and Whitby;10;7;12;17;16;18;12;15;11;3;10;15;16;Hambleton, Richmondshire and Whitby
08C;London;Hammersmith and Fulham;8;5;6;7;8;3;14;10;3;5;8;10;6;Hammersmith and Fulham
03Y;East Midlands;Hardwick;16;8;10;14;13;8;11;11;7;8;12;6;12;Hardwick
08D;London;Haringey;13;21;13;10;8;14;13;16;20;17;15;16;13;Haringey
03E;Yorkshire and Humber;Harrogate and Rural District;12;9;9;7;9;10;13;12;6;15;12;14;13;Harrogate and Rural District
08E;London;Harrow;10;13;13;8;12;12;11;8;15;6;14;12;10;Harrow
00K;North East;Hartlepool and Stockton-on-Tees;26;24;18;15;17;27;25;23;32;27;23;26;30;Hartlepool and Stockton-on-Tees
09P;South East;Hastings and Rother;14;10;12;7;13;16;13;21;13;13;14;10;12;Hastings and Rother
08F;London;Havering;14;26;22;29;15;28;19;16;6;16;18;22;13;Havering
05F;West Midlands;Herefordshire;7;9;10;6;12;14;8;6;7;12;9;5;12;Herefordshire
06N;East of England;Herts Valleys;30;23;24;30;33;22;22;23;26;31;21;23;22;Herts Valleys
01D;North West;Heywood, Middleton and Rochdale;12;9;11;13;13;8;15;17;8;17;13;8;19;Heywood, Middleton and Rochdale
99K;South East;High Weald Lewes Havens;9;5;6;15;10;13;11;9;14;8;3;13;9;High Weald Lewes Havens
08G;London;Hillingdon;12;17;17;22;16;17;18;20;16;15;18;21;17;Hillingdon
