Title:;ARCHIVE Financial Year - Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Reporting Period:;April 2017 to March 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. of months:;12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Publication date:;May 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;April 2017;May 2017;June 2017;July 2017;August 2017;September 2017;October 2017;November 2017;December 2017;January 2018;February 2018;March 2018;CCG Name
06M;East of England;Great Yarmouth and Waveney;21;21;21;13;18;20;29;24;14;21;17;13; Great Yarmouth and Waveney
03A;Yorkshire and Humber;Greater Huddersfield;17;12;14;17;17;23;17;18;8;13;14;19; Greater Huddersfield
01E;North West;Greater Preston;20;13;14;14;19;13;17;14;13;14;12;5; Greater Preston
08A;London;Greenwich;15;12;20;14;16;14;9;10;17;9;13;17; Greenwich
09N;South East;Guildford and Waverley;6;14;11;12;12;9;12;15;4;10;6;11; Guildford and Waverley
01F;North West;Halton;7;13;13;18;10;10;8;9;7;5;7;14; Halton
03D;Yorkshire and Humber;Hambleton, Richmondshire and Whitby;14;14;7;17;17;15;20;9;10;4;8;15; Hambleton, Richmondshire and Whitby
08C;London;Hammersmith and Fulham;8;9;11;10;16;10;10;12;6;11;6;6; Hammersmith and Fulham
03Y;East Midlands;Hardwick;8;7;8;15;6;11;12;4;8;10;4;6; Hardwick
08D;London;Haringey;13;17;12;14;18;12;14;14;8;12;7;14; Haringey
03E;Yorkshire and Humber;Harrogate and Rural District;6;9;13;16;18;14;11;3;7;13;8;9; Harrogate and Rural District
08E;London;Harrow;11;8;22;12;18;17;18;8;8;11;14;15; Harrow
00K;North East;Hartlepool and Stockton-on-Tees;26;17;31;26;36;25;25;35;26;31;23;27; Hartlepool and Stockton-on-Tees
09P;South East;Hastings and Rother;16;15;15;17;19;14;10;9;11;11;11;15; Hastings and Rother
08F;London;Havering;18;22;22;19;19;14;15;15;11;18;27;19; Havering
05F;West Midlands;Herefordshire;8;12;11;15;10;10;11;8;8;9;7;13; Herefordshire
06N;East of England;Herts Valleys;26;22;28;38;32;37;19;37;37;25;38;46; Herts Valleys
01D;North West;Heywood, Middleton and Rochdale;14;11;14;14;11;9;9;11;9;13;12;13; Heywood, Middleton and Rochdale
99K;South East;High Weald Lewes Havens;9;5;21;18;8;7;11;10;10;8;10;7; High Weald Lewes Havens
08G;London;Hillingdon;11;32;11;20;24;14;17;10;13;13;19;11; Hillingdon
09X;South East;Horsham and Mid Sussex;12;14;14;25;18;19;17;12;9;8;12;14; Horsham and Mid Sussex
07Y;London;Hounslow;12;14;13;11;24;13;15;21;15;11;17;17; Hounslow
03F;Yorkshire and Humber;Hull;15;20;25;16;25;25;15;15;18;27;23;13; Hull
06L;East of England;Ipswich and East Suffolk;29;21;23;16;20;16;18;27;23;5;10;23; Ipswich and East Suffolk
10L;South East;Isle of Wight;9;11;13;7;12;17;7;13;14;6;13;8; Isle of Wight
08H;London;Islington;9;11;13;12;4;11;15;12;10;10;12;9; Islington
11N;South West;Kernow;22;35;42;35;49;42;46;40;22;34;28;33; Kernow
08J;London;Kingston;7;10;7;6;9;7;10;1;9;9;6;8; Kingston
01J;North West;Knowsley;6;9;17;14;14;8;6;17;15;13;17;17; Knowsley
08K;London;Lambeth;12;25;23;21;17;15;16;16;22;17;12;11; Lambeth
02V;Yorkshire and Humber;Leeds North;11;9;11;9;8;10;15;13;9;11;18;12; Leeds North
03G;Yorkshire and Humber;Leeds South and East;15;18;11;24;21;14;18;21;20;15;21;22; Leeds South and East
03C;Yorkshire and Humber;Leeds West;29;15;16;25;24;23;21;25;18;11;13;19; Leeds West
04C;East Midlands;Leicester City;19;18;26;22;17;20;17;29;18;21;14;13; Leicester City
08L;London;Lewisham;11;20;11;18;26;10;15;17;8;22;19;19; Lewisham
03T;East Midlands;Lincolnshire East;15;17;11;19;12;20;19;14;18;14;16;23; Lincolnshire East
04D;East Midlands;Lincolnshire West;13;11;11;15;8;6;15;13;11;17;9;9; Lincolnshire West
99A;North West;Liverpool;33;49;25;42;28;34;46;37;28;33;35;40; Liverpool
06P;East of England;Luton;8;9;14;7;14;11;13;9;9;10;8;10; Luton
14L;North West;Manchester1;29;24;32;31;30;39;39;27;29;33;29;16;Manchester1
04E;East Midlands;Mansfield and Ashfield;17;16;11;20;16;21;21;12;15;17;10;16; Mansfield and Ashfield
09W;South East;Medway;20;17;28;19;19;18;20;17;14;14;14;18; Medway
08R;London;Merton;14;9;13;11;14;7;9;7;9;10;10;9; Merton
06Q;East of England;Mid Essex;15;16;19;17;27;18;24;21;19;19;25;13; Mid Essex
04F;East of England;Milton Keynes;21;12;11;24;19;21;9;9;14;11;11;11; Milton Keynes
01K;North West;Morecambe Bay;31;25;31;31;20;21;23;22;26;28;23;31; Morecambe Bay
04G;East Midlands;Nene;41;49;43;41;37;42;40;27;35;40;43;36; Nene
04H;East Midlands;Newark and Sherwood;3;8;12;12;9;10;7;12;9;7;8;12; Newark and Sherwood
10M;South East;Newbury and District;8;9;9;7;9;5;8;4;4;3;6;3; Newbury and District
13T;North East;Newcastle Gateshead;35;52;33;36;57;31;41;36;44;37;33;51; Newcastle Gateshead
08M;London;Newham;14;24;17;18;19;16;14;14;21;15;14;16; Newham
10N;South East;North and  West Reading;13;5;14;9;10;7;8;3;2;2;9;3; North and  West Reading
01H;North West;North Cumbria;22;28;21;18;42;25;18;23;22;20;15;16; North Cumbria
04J;East Midlands;North Derbyshire;25;21;21;23;16;26;24;23;18;23;17;22; North Derbyshire
00J;North East;North Durham;10;19;20;16;20;14;20;16;12;14;5;16; North Durham
06T;East of England;North East Essex;13;24;27;28;30;25;24;25;15;16;20;20; North East Essex
99M;South East;North East Hampshire and Farnham;19;19;9;20;14;11;15;19;14;15;10;14; North East Hampshire and Farnham
03H;Yorkshire and Humber;North East Lincolnshire;11;9;9;14;6;12;8;8;2;11;14;8; North East Lincolnshire
10J;South East;North Hampshire;10;9;12;12;10;10;13;6;16;4;6;11; North Hampshire
03J;Yorkshire and Humber;North Kirklees;9;11;12;7;11;11;20;16;8;7;3;13; North Kirklees
03K;Yorkshire and Humber;North Lincolnshire;14;14;14;8;16;12;14;12;9;12;10;9; North Lincolnshire
06V;East of England;North Norfolk;11;4;13;10;12;15;15;17;10;5;9;9; North Norfolk
11T;South West;North Somerset;18;9;15;10;9;20;3;9;15;4;6;13; North Somerset
05G;West Midlands;North Staffordshire;9;13;18;19;14;24;20;13;12;16;7;12; North Staffordshire
99C;North East;North Tyneside;16;21;19;20;22;17;16;12;16;16;10;16; North Tyneside
09Y;South East;North West Surrey;19;18;27;23;30;20;27;27;24;16;10;13; North West Surrey
99P;South West;Northern, Eastern and Western Devon;43;62;54;59;54;57;76;55;55;55;35;50; Northern, Eastern and Western Devon
00L;North East;Northumberland;29;15;26;29;25;19;23;28;27;27;25;28; Northumberland
06W;East of England;Norwich;6;7;12;9;7;19;8;9;13;5;7;11; Norwich
04K;East Midlands;Nottingham City;20;27;27;22;32;18;18;24;20;24;12;27; Nottingham City
04L;East Midlands;Nottingham North and East;11;10;10;11;10;11;13;15;5;18;9;8; Nottingham North and East
04M;East Midlands;Nottingham West;5;6;4;13;2;3;5;8;3;6;6;9; Nottingham West
00Y;North West;Oldham;19;7;8;17;13;11;17;15;17;9;11;11; Oldham
10Q;South East;Oxfordshire;42;36;32;47;46;55;55;43;33;40;32;35; Oxfordshire
10R;South East;Portsmouth;12;10;13;13;14;7;16;9;9;16;6;11; Portsmouth
08N;London;Redbridge;9;15;14;20;20;22;20;24;16;16;17;18; Redbridge
05J;West Midlands;Redditch and Bromsgrove;8;12;10;14;14;8;11;3;7;8;4;3; Redditch and Bromsgrove
08P;London;Richmond;9;10;8;8;14;4;11;9;8;3;9;8; Richmond
03L;Yorkshire and Humber;Rotherham;19;16;11;29;18;17;15;24;10;13;16;12; Rotherham
04N;East Midlands;Rushcliffe;14;10;12;9;10;10;5;5;8;4;6;8; Rushcliffe
01G;North West;Salford;18;16;15;17;19;15;21;15;21;17;21;10; Salford
05L;West Midlands;Sandwell and West Birmingham;19;28;22;26;24;24;22;22;18;23;20;23; Sandwell and West Birmingham
03M;Yorkshire and Humber;Scarborough and Ryedale;6;12;12;12;19;16;8;13;11;10;11;10; Scarborough and Ryedale
03N;Yorkshire and Humber;Sheffield;38;50;47;52;52;48;62;48;56;47;55;45; Sheffield
05N;West Midlands;Shropshire;21;17;18;17;28;25;24;25;14;15;13;15; Shropshire
10T;South East;Slough;8;14;10;13;14;6;22;9;9;9;4;9; Slough
05P;West Midlands;Solihull;14;18;10;21;9;15;14;20;11;11;18;22; Solihull
11X;South West;Somerset;35;35;47;42;40;43;51;39;46;39;38;44; Somerset
01R;North West;South Cheshire;13;17;15;14;13;12;6;13;10;11;11;17; South Cheshire
99Q;South West;South Devon and Torbay;20;18;28;23;22;21;15;17;19;22;13;27; South Devon and Torbay
05Q;West Midlands;South East Staffordshire and Seisdon Peninsula;13;8;11;16;18;11;11;15;7;5;14;13; South East Staffordshire and Seisdon Peninsula
10V;South East;South Eastern Hampshire;10;11;12;12;18;16;12;16;9;7;24;20; South Eastern Hampshire
12A;South West;South Gloucestershire;19;15;12;14;18;17;14;11;9;8;15;13; South Gloucestershire
10A;South East;South Kent Coast;17;20;11;10;12;18;13;21;12;12;12;20; South Kent Coast
99D;East Midlands;South Lincolnshire;9;14;11;9;17;5;17;13;9;5;11;7; South Lincolnshire
06Y;East of England;South Norfolk;12;16;14;10;11;10;11;21;12;13;12;8; South Norfolk
10W;South East;South Reading;7;7;6;8;10;5;7;4;4;5;3;6; South Reading
01T;North West;South Sefton;12;11;10;14;12;15;8;14;8;12;11;11; South Sefton
00M;North East;South Tees;27;31;31;20;24;23;28;30;28;25;32;30; South Tees
00N;North East;South Tyneside;8;14;8;15;15;15;11;18;9;20;6;14; South Tyneside
05R;West Midlands;South Warwickshire;23;18;24;21;22;20;15;20;17;13;17;14; South Warwickshire
04Q;East Midlands;South West Lincolnshire;9;6;9;6;6;5;5;8;5;7;10;1; South West Lincolnshire
05T;West Midlands;South Worcestershire;17;21;25;19;15;25;16;20;15;13;9;12; South Worcestershire
10X;South East;Southampton;15;11;8;21;8;11;9;16;9;12;8;11; Southampton
99G;East of England;Southend;9;7;13;14;9;15;16;10;11;13;14;12; Southend
04R;East Midlands;Southern Derbyshire;35;36;42;36;35;33;30;40;61;34;36;36; Southern Derbyshire
01V;North West;Southport and Formby;12;18;9;11;11;12;12;8;17;12;9;18; Southport and Formby
08Q;London;Southwark;17;15;16;14;14;13;17;9;8;9;13;8; Southwark
01X;North West;St Helens;17;15;20;12;18;28;22;14;10;13;14;10; St Helens
05V;West Midlands;Stafford and Surrounds;4;8;12;11;7;11;14;10;16;7;13;13; Stafford and Surrounds
01W;North West;Stockport;15;20;21;23;22;25;19;18;27;19;12;18; Stockport
05W;West Midlands;Stoke On Trent;20;18;23;21;21;25;25;23;11;15;29;17; Stoke On Trent
00P;North East;Sunderland;18;21;21;24;24;27;23;25;27;29;24;22; Sunderland
99H;South East;Surrey Downs;16;10;15;22;21;9;14;16;13;20;14;11; Surrey Downs
10C;South East;Surrey Heath;9;7;12;8;13;8;7;9;10;7;4;6; Surrey Heath
08T;London;Sutton;8;8;10;10;12;12;10;11;11;14;11;12; Sutton
10D;South East;Swale;5;8;6;8;8;5;8;4;7;7;9;9; Swale
12D;South West;Swindon;13;11;14;11;12;13;10;11;13;12;10;11; Swindon
01Y;North West;Tameside and Glossop;21;11;16;20;13;14;9;9;20;14;12;15; Tameside and Glossop
05X;West Midlands;Telford and Wrekin;6;5;5;10;2;10;11;9;6;14;12;12; Telford and Wrekin
10E;South East;Thanet;10;16;14;17;15;16;13;13;11;18;8;15; Thanet
07G;East of England;Thurrock;9;7;4;10;10;16;12;9;10;6;11;14; Thurrock
08V;London;Tower Hamlets;15;18;12;16;15;13;16;11;16;15;11;19; Tower Hamlets
